Year,system,District,Subject,Percent P/A
2013,470.0,Knox County,Math,52.4
2012,470.0,Knox County,Math,50.7
2011,470.0,Knox County,Math,46.0
2015,470.0,Knox County,ELA,53.4
2014,470.0,Knox County,ELA,53.5
2013,470.0,Knox County,ELA,56.8
2012,470.0,Knox County,ELA,57.0
2011,470.0,Knox County,ELA,55.1
2015,470.0,Knox County,Science,68.4
2014,470.0,Knox County,Science,67.4
2013,470.0,Knox County,Science,67.4
2012,470.0,Knox County,Science,64.9
2011,470.0,Knox County,Science,60.1
2015,480.0,Lake County,Algebra I,22.9
2014,480.0,Lake County,Algebra I,42.6
2013,480.0,Lake County,Algebra I,31.8
2012,480.0,Lake County,Algebra I,31.8
2011,480.0,Lake County,Algebra I,47.0
2015,480.0,Lake County,Algebra II,0.0
2014,480.0,Lake County,Algebra II,20.8
2013,480.0,Lake County,Algebra II,29.5
2012,480.0,Lake County,Algebra II,10.9
2011,480.0,Lake County,Algebra II,NA
2015,480.0,Lake County,Biology I,25.0
2014,480.0,Lake County,Biology I,41.3
2013,480.0,Lake County,Biology I,44.0
2012,480.0,Lake County,Biology I,20.0
2011,480.0,Lake County,Biology I,20.4
2015,480.0,Lake County,Chemistry,36.5
2014,480.0,Lake County,Chemistry,33.3
2013,480.0,Lake County,Chemistry,NA
2012,480.0,Lake County,Chemistry,NA
2011,480.0,Lake County,Chemistry,NA
2015,480.0,Lake County,English I,36.9
2014,480.0,Lake County,English I,50.9
2013,480.0,Lake County,English I,58.9
2012,480.0,Lake County,English I,50.0
2011,480.0,Lake County,English I,55.1
2015,480.0,Lake County,English II,34.6
2014,480.0,Lake County,English II,49.3
2013,480.0,Lake County,English II,31.3
2012,480.0,Lake County,English II,37.7
2011,480.0,Lake County,English II,37.9
2015,480.0,Lake County,English III,31.8
2014,480.0,Lake County,English III,10.9
2013,480.0,Lake County,English III,13.3
2012,480.0,Lake County,English III,21.2
2011,480.0,Lake County,English III,NA
2015,480.0,Lake County,Graduation Rate,89.4
2014,480.0,Lake County,Graduation Rate,77.0
2013,480.0,Lake County,Graduation Rate,84.3
2012,480.0,Lake County,Graduation Rate,79.7
2011,480.0,Lake County,Graduation Rate,NA
2015,480.0,Lake County,Math,34.7
2014,480.0,Lake County,Math,23.1
2013,480.0,Lake County,Math,30.3
2012,480.0,Lake County,Math,30.1
2011,480.0,Lake County,Math,23.8
2015,480.0,Lake County,ELA,32.5
2014,480.0,Lake County,ELA,30.8
2013,480.0,Lake County,ELA,31.0
2012,480.0,Lake County,ELA,28.8
2011,480.0,Lake County,ELA,27.9
2015,480.0,Lake County,Science,45.6
2014,480.0,Lake County,Science,39.2
2013,480.0,Lake County,Science,38.4
2012,480.0,Lake County,Science,36.8
2011,480.0,Lake County,Science,32.4
2015,797.0,Lakeland City,Algebra I,NA
2014,797.0,Lakeland City,Algebra I,NA
2013,797.0,Lakeland City,Algebra I,NA
2012,797.0,Lakeland City,Algebra I,NA
2011,797.0,Lakeland City,Algebra I,NA
2015,797.0,Lakeland City,Algebra II,NA
2014,797.0,Lakeland City,Algebra II,NA
2013,797.0,Lakeland City,Algebra II,NA
2012,797.0,Lakeland City,Algebra II,NA
2011,797.0,Lakeland City,Algebra II,NA
2015,797.0,Lakeland City,Biology I,NA
2014,797.0,Lakeland City,Biology I,NA
2013,797.0,Lakeland City,Biology I,NA
2012,797.0,Lakeland City,Biology I,NA
2011,797.0,Lakeland City,Biology I,NA
2015,797.0,Lakeland City,Chemistry,NA
2014,797.0,Lakeland City,Chemistry,NA
2013,797.0,Lakeland City,Chemistry,NA
2012,797.0,Lakeland City,Chemistry,NA
2011,797.0,Lakeland City,Chemistry,NA
2015,797.0,Lakeland City,English I,NA
2014,797.0,Lakeland City,English I,NA
2013,797.0,Lakeland City,English I,NA
2012,797.0,Lakeland City,English I,NA
2011,797.0,Lakeland City,English I,NA
2015,797.0,Lakeland City,English II,NA
2014,797.0,Lakeland City,English II,NA
2013,797.0,Lakeland City,English II,NA
2012,797.0,Lakeland City,English II,NA
2011,797.0,Lakeland City,English II,NA
2015,797.0,Lakeland City,English III,NA
2014,797.0,Lakeland City,English III,NA
2013,797.0,Lakeland City,English III,NA
2012,797.0,Lakeland City,English III,NA
2011,797.0,Lakeland City,English III,NA
2015,797.0,Lakeland City,Graduation Rate,NA
2014,797.0,Lakeland City,Graduation Rate,NA
2013,797.0,Lakeland City,Graduation Rate,NA
2012,797.0,Lakeland City,Graduation Rate,NA
2011,797.0,Lakeland City,Graduation Rate,NA
2015,797.0,Lakeland City,Math,88.2
2014,797.0,Lakeland City,Math,84.2
2013,797.0,Lakeland City,Math,85.8
2012,797.0,Lakeland City,Math,NA
2011,797.0,Lakeland City,Math,NA
2015,797.0,Lakeland City,ELA,83.2
2014,797.0,Lakeland City,ELA,81.5
2013,797.0,Lakeland City,ELA,81.9
2012,797.0,Lakeland City,ELA,NA
2011,797.0,Lakeland City,ELA,NA
2015,797.0,Lakeland City,Science,90.9
2014,797.0,Lakeland City,Science,89.7
2013,797.0,Lakeland City,Science,91.9
2012,797.0,Lakeland City,Science,NA
2011,797.0,Lakeland City,Science,NA
2015,490.0,Lauderdale County,Algebra I,79.9
2014,490.0,Lauderdale County,Algebra I,81.8
2013,490.0,Lauderdale County,Algebra I,71.1
2012,490.0,Lauderdale County,Algebra I,52.8
2011,490.0,Lauderdale County,Algebra I,44.5
2015,490.0,Lauderdale County,Algebra II,63.5
2014,490.0,Lauderdale County,Algebra II,40.2
2013,490.0,Lauderdale County,Algebra II,37.7
2012,490.0,Lauderdale County,Algebra II,26.1
2011,490.0,Lauderdale County,Algebra II,NA
2015,490.0,Lauderdale County,Biology I,51.9
2014,490.0,Lauderdale County,Biology I,51.2
2013,490.0,Lauderdale County,Biology I,53.1
2012,490.0,Lauderdale County,Biology I,40.4
2011,490.0,Lauderdale County,Biology I,32.3
2015,490.0,Lauderdale County,Chemistry,32.5
2014,490.0,Lauderdale County,Chemistry,29.6
2013,490.0,Lauderdale County,Chemistry,NA
2012,490.0,Lauderdale County,Chemistry,NA
2011,490.0,Lauderdale County,Chemistry,NA
2015,490.0,Lauderdale County,English I,62.0
2014,490.0,Lauderdale County,English I,65.5
2013,490.0,Lauderdale County,English I,61.7
2012,490.0,Lauderdale County,English I,57.7
2011,490.0,Lauderdale County,English I,58.1
2015,490.0,Lauderdale County,English II,57.6
2014,490.0,Lauderdale County,English II,57.2
2013,490.0,Lauderdale County,English II,45.6
2012,490.0,Lauderdale County,English II,48.8
2011,490.0,Lauderdale County,English II,45.6
2015,490.0,Lauderdale County,English III,37.4
2014,490.0,Lauderdale County,English III,31.0
2013,490.0,Lauderdale County,English III,35.8
2012,490.0,Lauderdale County,English III,25.3
2011,490.0,Lauderdale County,English III,NA
2015,490.0,Lauderdale County,Graduation Rate,97.0
2014,490.0,Lauderdale County,Graduation Rate,92.5
2013,490.0,Lauderdale County,Graduation Rate,93.4
2012,490.0,Lauderdale County,Graduation Rate,85.1
2011,490.0,Lauderdale County,Graduation Rate,NA
2015,490.0,Lauderdale County,Math,53.7
2014,490.0,Lauderdale County,Math,47.6
2013,490.0,Lauderdale County,Math,40.6
2012,490.0,Lauderdale County,Math,31.6
2011,490.0,Lauderdale County,Math,24.2
2015,490.0,Lauderdale County,ELA,40.5
2014,490.0,Lauderdale County,ELA,41.8
2013,490.0,Lauderdale County,ELA,40.3
2012,490.0,Lauderdale County,ELA,38.0
2011,490.0,Lauderdale County,ELA,35.0
2015,490.0,Lauderdale County,Science,62.0
2014,490.0,Lauderdale County,Science,57.8
2013,490.0,Lauderdale County,Science,54.2
2012,490.0,Lauderdale County,Science,51.5
2011,490.0,Lauderdale County,Science,44.8
2015,500.0,Lawrence County,Algebra I,87.2
2014,500.0,Lawrence County,Algebra I,80.0
2013,500.0,Lawrence County,Algebra I,76.1
2012,500.0,Lawrence County,Algebra I,68.4
2011,500.0,Lawrence County,Algebra I,58.0
2015,500.0,Lawrence County,Algebra II,63.3
2014,500.0,Lawrence County,Algebra II,53.6
2013,500.0,Lawrence County,Algebra II,55.2
2012,500.0,Lawrence County,Algebra II,40.6
2011,500.0,Lawrence County,Algebra II,NA
2015,500.0,Lawrence County,Biology I,75.9
2014,500.0,Lawrence County,Biology I,72.2
2013,500.0,Lawrence County,Biology I,69.1
2012,500.0,Lawrence County,Biology I,59.5
2011,500.0,Lawrence County,Biology I,61.9
2015,500.0,Lawrence County,Chemistry,55.7
2014,500.0,Lawrence County,Chemistry,54.1
2013,500.0,Lawrence County,Chemistry,NA
2012,500.0,Lawrence County,Chemistry,NA
2011,500.0,Lawrence County,Chemistry,NA
2015,500.0,Lawrence County,English I,77.9
2014,500.0,Lawrence County,English I,80.4
2013,500.0,Lawrence County,English I,76.1
2012,500.0,Lawrence County,English I,72.7
2011,500.0,Lawrence County,English I,68.0
2015,500.0,Lawrence County,English II,70.1
2014,500.0,Lawrence County,English II,64.7
2013,500.0,Lawrence County,English II,64.5
2012,500.0,Lawrence County,English II,63.7
2011,500.0,Lawrence County,English II,63.1
2015,500.0,Lawrence County,English III,38.8
2014,500.0,Lawrence County,English III,36.2
2013,500.0,Lawrence County,English III,40.2
2012,500.0,Lawrence County,English III,39.9
2011,500.0,Lawrence County,English III,NA
2015,500.0,Lawrence County,Graduation Rate,94.5
2014,500.0,Lawrence County,Graduation Rate,93.9
2013,500.0,Lawrence County,Graduation Rate,95.9
2012,500.0,Lawrence County,Graduation Rate,90.3
2011,500.0,Lawrence County,Graduation Rate,NA
2015,500.0,Lawrence County,Math,69.1
2014,500.0,Lawrence County,Math,65.8
2013,500.0,Lawrence County,Math,63.1
2012,500.0,Lawrence County,Math,59.1
2011,500.0,Lawrence County,Math,50.7
2015,500.0,Lawrence County,ELA,57.3
2014,500.0,Lawrence County,ELA,60.0
2013,500.0,Lawrence County,ELA,59.5
2012,500.0,Lawrence County,ELA,58.4
2011,500.0,Lawrence County,ELA,52.7
2015,500.0,Lawrence County,Science,75.3
2014,500.0,Lawrence County,Science,76.0
2013,500.0,Lawrence County,Science,75.0
2012,500.0,Lawrence County,Science,70.4
2011,500.0,Lawrence County,Science,62.9
2015,951.0,Lebanon SSD,Algebra I,100.0
2014,951.0,Lebanon SSD,Algebra I,NA
2013,951.0,Lebanon SSD,Algebra I,NA
2012,951.0,Lebanon SSD,Algebra I,NA
2011,951.0,Lebanon SSD,Algebra I,88.0
2015,951.0,Lebanon SSD,Algebra II,NA
2014,951.0,Lebanon SSD,Algebra II,NA
2013,951.0,Lebanon SSD,Algebra II,NA
2012,951.0,Lebanon SSD,Algebra II,NA
2011,951.0,Lebanon SSD,Algebra II,NA
2015,951.0,Lebanon SSD,Biology I,NA
2014,951.0,Lebanon SSD,Biology I,NA
2013,951.0,Lebanon SSD,Biology I,NA
2012,951.0,Lebanon SSD,Biology I,NA
2011,951.0,Lebanon SSD,Biology I,NA
2015,951.0,Lebanon SSD,Chemistry,NA
2014,951.0,Lebanon SSD,Chemistry,NA
2013,951.0,Lebanon SSD,Chemistry,NA
2012,951.0,Lebanon SSD,Chemistry,NA
2011,951.0,Lebanon SSD,Chemistry,NA
2015,951.0,Lebanon SSD,English I,NA
2014,951.0,Lebanon SSD,English I,NA
2013,951.0,Lebanon SSD,English I,NA
2012,951.0,Lebanon SSD,English I,NA
2011,951.0,Lebanon SSD,English I,NA
2015,951.0,Lebanon SSD,English II,NA
2014,951.0,Lebanon SSD,English II,NA
2013,951.0,Lebanon SSD,English II,NA
2012,951.0,Lebanon SSD,English II,NA
2011,951.0,Lebanon SSD,English II,NA
2015,951.0,Lebanon SSD,English III,NA
2014,951.0,Lebanon SSD,English III,NA
2013,951.0,Lebanon SSD,English III,NA
2012,951.0,Lebanon SSD,English III,NA
2011,951.0,Lebanon SSD,English III,NA
2015,951.0,Lebanon SSD,Graduation Rate,NA
2014,951.0,Lebanon SSD,Graduation Rate,NA
2013,951.0,Lebanon SSD,Graduation Rate,NA
2012,951.0,Lebanon SSD,Graduation Rate,NA
2011,951.0,Lebanon SSD,Graduation Rate,NA
2015,951.0,Lebanon SSD,Math,52.6
2014,951.0,Lebanon SSD,Math,54.9
2013,951.0,Lebanon SSD,Math,45.7
2012,951.0,Lebanon SSD,Math,42.3
2011,951.0,Lebanon SSD,Math,39.5
2015,951.0,Lebanon SSD,ELA,49.8
2014,951.0,Lebanon SSD,ELA,51.0
2013,951.0,Lebanon SSD,ELA,51.7
2012,951.0,Lebanon SSD,ELA,50.8
2011,951.0,Lebanon SSD,ELA,50.4
2015,951.0,Lebanon SSD,Science,71.3
2014,951.0,Lebanon SSD,Science,72.5
2013,951.0,Lebanon SSD,Science,71.1
2012,951.0,Lebanon SSD,Science,70.0
2011,951.0,Lebanon SSD,Science,69.7
2015,531.0,Lenoir City,Algebra I,66.6
2014,531.0,Lenoir City,Algebra I,74.3
2013,531.0,Lenoir City,Algebra I,73.6
2012,531.0,Lenoir City,Algebra I,55.9
2011,531.0,Lenoir City,Algebra I,45.2
2015,531.0,Lenoir City,Algebra II,76.7
2014,531.0,Lenoir City,Algebra II,61.9
2013,531.0,Lenoir City,Algebra II,53.6
2012,531.0,Lenoir City,Algebra II,46.4
2011,531.0,Lenoir City,Algebra II,NA
2015,531.0,Lenoir City,Biology I,65.3
2014,531.0,Lenoir City,Biology I,66.1
2013,531.0,Lenoir City,Biology I,62.5
2012,531.0,Lenoir City,Biology I,65.6
2011,531.0,Lenoir City,Biology I,59.1
2015,531.0,Lenoir City,Chemistry,54.5
2014,531.0,Lenoir City,Chemistry,48.9
2013,531.0,Lenoir City,Chemistry,NA
2012,531.0,Lenoir City,Chemistry,NA
2011,531.0,Lenoir City,Chemistry,NA
2015,531.0,Lenoir City,English I,76.7
2014,531.0,Lenoir City,English I,70.6
2013,531.0,Lenoir City,English I,72.0
2012,531.0,Lenoir City,English I,74.0
2011,531.0,Lenoir City,English I,77.1
2015,531.0,Lenoir City,English II,68.7
2014,531.0,Lenoir City,English II,72.9
2013,531.0,Lenoir City,English II,63.8
2012,531.0,Lenoir City,English II,71.6
2011,531.0,Lenoir City,English II,63.9
2015,531.0,Lenoir City,English III,49.0
2014,531.0,Lenoir City,English III,42.4
2013,531.0,Lenoir City,English III,47.6
2012,531.0,Lenoir City,English III,46.9
2011,531.0,Lenoir City,English III,NA
2015,531.0,Lenoir City,Graduation Rate,90.8
2014,531.0,Lenoir City,Graduation Rate,87.5
2013,531.0,Lenoir City,Graduation Rate,91.1
2012,531.0,Lenoir City,Graduation Rate,89.1
2011,531.0,Lenoir City,Graduation Rate,NA
2015,531.0,Lenoir City,Math,45.0
2014,531.0,Lenoir City,Math,46.1
2013,531.0,Lenoir City,Math,40.0
2012,531.0,Lenoir City,Math,44.7
2011,531.0,Lenoir City,Math,32.2
2015,531.0,Lenoir City,ELA,33.8
2014,531.0,Lenoir City,ELA,38.1
2013,531.0,Lenoir City,ELA,41.7
2012,531.0,Lenoir City,ELA,42.9
2011,531.0,Lenoir City,ELA,40.9
2015,531.0,Lenoir City,Science,58.3
2014,531.0,Lenoir City,Science,65.4
2013,531.0,Lenoir City,Science,64.6
2012,531.0,Lenoir City,Science,62.9
2011,531.0,Lenoir City,Science,54.2
2015,510.0,Lewis County,Algebra I,54.1
2014,510.0,Lewis County,Algebra I,49.0
2013,510.0,Lewis County,Algebra I,43.0
2012,510.0,Lewis County,Algebra I,41.5
2011,510.0,Lewis County,Algebra I,34.1
2015,510.0,Lewis County,Algebra II,23.6
2014,510.0,Lewis County,Algebra II,26.7
2013,510.0,Lewis County,Algebra II,15.4
2012,510.0,Lewis County,Algebra II,10.4
2011,510.0,Lewis County,Algebra II,NA
2015,510.0,Lewis County,Biology I,52.8
2014,510.0,Lewis County,Biology I,51.9
2013,510.0,Lewis County,Biology I,45.9
2012,510.0,Lewis County,Biology I,55.8
2011,510.0,Lewis County,Biology I,39.4
2015,510.0,Lewis County,Chemistry,24.4
2014,510.0,Lewis County,Chemistry,34.6
2013,510.0,Lewis County,Chemistry,NA
2012,510.0,Lewis County,Chemistry,NA
2011,510.0,Lewis County,Chemistry,NA
2015,510.0,Lewis County,English I,68.2
2014,510.0,Lewis County,English I,68.7
2013,510.0,Lewis County,English I,61.4
2012,510.0,Lewis County,English I,63.8
2011,510.0,Lewis County,English I,61.8
2015,510.0,Lewis County,English II,62.3
2014,510.0,Lewis County,English II,54.7
2013,510.0,Lewis County,English II,51.9
2012,510.0,Lewis County,English II,54.4
2011,510.0,Lewis County,English II,54.8
2015,510.0,Lewis County,English III,31.0
2014,510.0,Lewis County,English III,40.2
2013,510.0,Lewis County,English III,32.5
2012,510.0,Lewis County,English III,37.5
2011,510.0,Lewis County,English III,NA
2015,510.0,Lewis County,Graduation Rate,87.1
2014,510.0,Lewis County,Graduation Rate,89.5
2013,510.0,Lewis County,Graduation Rate,83.5
2012,510.0,Lewis County,Graduation Rate,87.3
2011,510.0,Lewis County,Graduation Rate,NA
2015,510.0,Lewis County,Math,50.2
2014,510.0,Lewis County,Math,45.8
2013,510.0,Lewis County,Math,49.3
2012,510.0,Lewis County,Math,42.9
2011,510.0,Lewis County,Math,33.0
2015,510.0,Lewis County,ELA,47.6
2014,510.0,Lewis County,ELA,50.4
2013,510.0,Lewis County,ELA,50.8
2012,510.0,Lewis County,ELA,47.4
2011,510.0,Lewis County,ELA,44.6
2015,510.0,Lewis County,Science,57.4
2014,510.0,Lewis County,Science,60.7
2013,510.0,Lewis County,Science,62.1
2012,510.0,Lewis County,Science,57.5
2011,510.0,Lewis County,Science,54.0
2015,391.0,Lexington City,Algebra I,NA
2014,391.0,Lexington City,Algebra I,NA
2013,391.0,Lexington City,Algebra I,NA
2012,391.0,Lexington City,Algebra I,NA
2011,391.0,Lexington City,Algebra I,NA
2015,391.0,Lexington City,Algebra II,NA
2014,391.0,Lexington City,Algebra II,NA
2013,391.0,Lexington City,Algebra II,NA
2012,391.0,Lexington City,Algebra II,NA
2011,391.0,Lexington City,Algebra II,NA
2015,391.0,Lexington City,Biology I,NA
2014,391.0,Lexington City,Biology I,NA
2013,391.0,Lexington City,Biology I,NA
2012,391.0,Lexington City,Biology I,NA
2011,391.0,Lexington City,Biology I,NA
2015,391.0,Lexington City,Chemistry,NA
2014,391.0,Lexington City,Chemistry,NA
2013,391.0,Lexington City,Chemistry,NA
2012,391.0,Lexington City,Chemistry,NA
2011,391.0,Lexington City,Chemistry,NA
2015,391.0,Lexington City,English I,NA
2014,391.0,Lexington City,English I,NA
2013,391.0,Lexington City,English I,NA
2012,391.0,Lexington City,English I,NA
2011,391.0,Lexington City,English I,NA
2015,391.0,Lexington City,English II,NA
2014,391.0,Lexington City,English II,NA
2013,391.0,Lexington City,English II,NA
2012,391.0,Lexington City,English II,NA
2011,391.0,Lexington City,English II,NA
2015,391.0,Lexington City,English III,NA
2014,391.0,Lexington City,English III,NA
2013,391.0,Lexington City,English III,NA
2012,391.0,Lexington City,English III,NA
2011,391.0,Lexington City,English III,NA
2015,391.0,Lexington City,Graduation Rate,NA
2014,391.0,Lexington City,Graduation Rate,NA
2013,391.0,Lexington City,Graduation Rate,NA
2012,391.0,Lexington City,Graduation Rate,NA
2011,391.0,Lexington City,Graduation Rate,NA
2015,391.0,Lexington City,Math,66.9
2014,391.0,Lexington City,Math,65.1
2013,391.0,Lexington City,Math,63.3
2012,391.0,Lexington City,Math,59.0
2011,391.0,Lexington City,Math,49.7
2015,391.0,Lexington City,ELA,46.7
2014,391.0,Lexington City,ELA,50.2
2013,391.0,Lexington City,ELA,56.6
2012,391.0,Lexington City,ELA,60.0
2011,391.0,Lexington City,ELA,55.4
2015,391.0,Lexington City,Science,70.3
2014,391.0,Lexington City,Science,73.8
2013,391.0,Lexington City,Science,75.2
2012,391.0,Lexington City,Science,74.8
2011,391.0,Lexington City,Science,69.7
2015,520.0,Lincoln County,Algebra I,77.0
2014,520.0,Lincoln County,Algebra I,64.1
2013,520.0,Lincoln County,Algebra I,74.1
2012,520.0,Lincoln County,Algebra I,65.2
2011,520.0,Lincoln County,Algebra I,52.8
2015,520.0,Lincoln County,Algebra II,62.2
2014,520.0,Lincoln County,Algebra II,61.1
2013,520.0,Lincoln County,Algebra II,44.4
2012,520.0,Lincoln County,Algebra II,43.6
2011,520.0,Lincoln County,Algebra II,NA
2015,520.0,Lincoln County,Biology I,77.3
2014,520.0,Lincoln County,Biology I,65.2
2013,520.0,Lincoln County,Biology I,76.5
2012,520.0,Lincoln County,Biology I,62.3
2011,520.0,Lincoln County,Biology I,53.3
2015,520.0,Lincoln County,Chemistry,56.7
2014,520.0,Lincoln County,Chemistry,47.2
2013,520.0,Lincoln County,Chemistry,NA
2012,520.0,Lincoln County,Chemistry,NA
2011,520.0,Lincoln County,Chemistry,NA
2015,520.0,Lincoln County,English I,75.6
2014,520.0,Lincoln County,English I,80.4
2013,520.0,Lincoln County,English I,77.3
2012,520.0,Lincoln County,English I,79.5
2011,520.0,Lincoln County,English I,83.4
2015,520.0,Lincoln County,English II,74.4
2014,520.0,Lincoln County,English II,68.0
2013,520.0,Lincoln County,English II,70.4
2012,520.0,Lincoln County,English II,69.9
2011,520.0,Lincoln County,English II,62.2
2015,520.0,Lincoln County,English III,52.3
2014,520.0,Lincoln County,English III,46.9
2013,520.0,Lincoln County,English III,54.1
2012,520.0,Lincoln County,English III,45.6
2011,520.0,Lincoln County,English III,NA
2015,520.0,Lincoln County,Graduation Rate,95.4
2014,520.0,Lincoln County,Graduation Rate,91.3
2013,520.0,Lincoln County,Graduation Rate,93.0
2012,520.0,Lincoln County,Graduation Rate,92.3
2011,520.0,Lincoln County,Graduation Rate,NA
2015,520.0,Lincoln County,Math,66.5
2014,520.0,Lincoln County,Math,54.3
2013,520.0,Lincoln County,Math,53.2
2012,520.0,Lincoln County,Math,45.0
2011,520.0,Lincoln County,Math,40.7
2015,520.0,Lincoln County,ELA,57.7
2014,520.0,Lincoln County,ELA,57.4
2013,520.0,Lincoln County,ELA,59.1
2012,520.0,Lincoln County,ELA,60.9
2011,520.0,Lincoln County,ELA,55.3
2015,520.0,Lincoln County,Science,75.6
2014,520.0,Lincoln County,Science,70.9
2013,520.0,Lincoln County,Science,72.0
2012,520.0,Lincoln County,Science,69.3
2011,520.0,Lincoln County,Science,62.0
2015,530.0,Loudon County,Algebra I,72.0
2014,530.0,Loudon County,Algebra I,70.6
2013,530.0,Loudon County,Algebra I,59.0
2012,530.0,Loudon County,Algebra I,75.7
2011,530.0,Loudon County,Algebra I,53.1
2015,530.0,Loudon County,Algebra II,44.5
2014,530.0,Loudon County,Algebra II,38.2
2013,530.0,Loudon County,Algebra II,50.7
2012,530.0,Loudon County,Algebra II,28.7
2011,530.0,Loudon County,Algebra II,NA
2015,530.0,Loudon County,Biology I,68.9
2014,530.0,Loudon County,Biology I,72.2
2013,530.0,Loudon County,Biology I,74.0
2012,530.0,Loudon County,Biology I,57.8
2011,530.0,Loudon County,Biology I,53.4
2015,530.0,Loudon County,Chemistry,46.5
2014,530.0,Loudon County,Chemistry,41.4
2013,530.0,Loudon County,Chemistry,NA
2012,530.0,Loudon County,Chemistry,NA
2011,530.0,Loudon County,Chemistry,NA
2015,530.0,Loudon County,English I,72.7
2014,530.0,Loudon County,English I,72.4
2013,530.0,Loudon County,English I,63.7
2012,530.0,Loudon County,English I,71.0
2011,530.0,Loudon County,English I,61.8
2015,530.0,Loudon County,English II,69.0
2014,530.0,Loudon County,English II,64.0
2013,530.0,Loudon County,English II,58.9
2012,530.0,Loudon County,English II,55.4
2011,530.0,Loudon County,English II,55.3
2015,530.0,Loudon County,English III,40.8
2014,530.0,Loudon County,English III,42.6
2013,530.0,Loudon County,English III,34.8
2012,530.0,Loudon County,English III,39.0
2011,530.0,Loudon County,English III,NA
2015,530.0,Loudon County,Graduation Rate,87.1
2014,530.0,Loudon County,Graduation Rate,89.0
2013,530.0,Loudon County,Graduation Rate,91.9
2012,530.0,Loudon County,Graduation Rate,91.2
2011,530.0,Loudon County,Graduation Rate,NA
2015,530.0,Loudon County,Math,61.3
2014,530.0,Loudon County,Math,57.6
2013,530.0,Loudon County,Math,51.5
2012,530.0,Loudon County,Math,50.4
2011,530.0,Loudon County,Math,43.6
2015,530.0,Loudon County,ELA,55.1
2014,530.0,Loudon County,ELA,56.6
2013,530.0,Loudon County,ELA,58.0
2012,530.0,Loudon County,ELA,55.6
2011,530.0,Loudon County,ELA,55.9
2015,530.0,Loudon County,Science,71.6
2014,530.0,Loudon County,Science,71.3
2013,530.0,Loudon County,Science,72.1
2012,530.0,Loudon County,Science,71.0
2011,530.0,Loudon County,Science,62.3
2015,560.0,Macon County,Algebra I,76.8
2014,560.0,Macon County,Algebra I,72.3
2013,560.0,Macon County,Algebra I,66.1
2012,560.0,Macon County,Algebra I,48.6
2011,560.0,Macon County,Algebra I,30.0
2015,560.0,Macon County,Algebra II,44.8
2014,560.0,Macon County,Algebra II,26.6
2013,560.0,Macon County,Algebra II,19.2
2012,560.0,Macon County,Algebra II,13.8
2011,560.0,Macon County,Algebra II,NA
2015,560.0,Macon County,Biology I,64.3
2014,560.0,Macon County,Biology I,63.3
2013,560.0,Macon County,Biology I,51.0
2012,560.0,Macon County,Biology I,52.6
2011,560.0,Macon County,Biology I,41.2
2015,560.0,Macon County,Chemistry,37.8
2014,560.0,Macon County,Chemistry,24.3
2013,560.0,Macon County,Chemistry,NA
2012,560.0,Macon County,Chemistry,NA
2011,560.0,Macon County,Chemistry,NA
2015,560.0,Macon County,English I,70.7
2014,560.0,Macon County,English I,69.3
2013,560.0,Macon County,English I,67.5
2012,560.0,Macon County,English I,62.9
2011,560.0,Macon County,English I,65.4
2015,560.0,Macon County,English II,63.6
2014,560.0,Macon County,English II,57.5
2013,560.0,Macon County,English II,52.8
2012,560.0,Macon County,English II,55.8
2011,560.0,Macon County,English II,51.5
2015,560.0,Macon County,English III,43.6
2014,560.0,Macon County,English III,35.9
2013,560.0,Macon County,English III,33.5
2012,560.0,Macon County,English III,26.9
2011,560.0,Macon County,English III,NA
2015,560.0,Macon County,Graduation Rate,86.0
2014,560.0,Macon County,Graduation Rate,89.8
2013,560.0,Macon County,Graduation Rate,84.6
2012,560.0,Macon County,Graduation Rate,79.3
2011,560.0,Macon County,Graduation Rate,NA
2015,560.0,Macon County,Math,49.1
2014,560.0,Macon County,Math,44.7
2013,560.0,Macon County,Math,44.2
2012,560.0,Macon County,Math,40.9
2011,560.0,Macon County,Math,34.5
2015,560.0,Macon County,ELA,43.0
2014,560.0,Macon County,ELA,43.3
2013,560.0,Macon County,ELA,45.5
2012,560.0,Macon County,ELA,44.9
2011,560.0,Macon County,ELA,43.2
2015,560.0,Macon County,Science,61.5
2014,560.0,Macon County,Science,57.6
2013,560.0,Macon County,Science,58.0
2012,560.0,Macon County,Science,58.5
2011,560.0,Macon County,Science,56.0
2015,161.0,Manchester City,Algebra I,NA
2014,161.0,Manchester City,Algebra I,NA
2013,161.0,Manchester City,Algebra I,NA
2012,161.0,Manchester City,Algebra I,61.4
2011,161.0,Manchester City,Algebra I,54.2
2015,161.0,Manchester City,Algebra II,NA
2014,161.0,Manchester City,Algebra II,NA
2013,161.0,Manchester City,Algebra II,NA
2012,161.0,Manchester City,Algebra II,NA
2011,161.0,Manchester City,Algebra II,NA
2015,161.0,Manchester City,Biology I,NA
2014,161.0,Manchester City,Biology I,NA
2013,161.0,Manchester City,Biology I,NA
2012,161.0,Manchester City,Biology I,NA
2011,161.0,Manchester City,Biology I,NA
2015,161.0,Manchester City,Chemistry,NA
2014,161.0,Manchester City,Chemistry,NA
2013,161.0,Manchester City,Chemistry,NA
2012,161.0,Manchester City,Chemistry,NA
2011,161.0,Manchester City,Chemistry,NA
2015,161.0,Manchester City,English I,NA
2014,161.0,Manchester City,English I,NA
